Course,Assessment Type,Weighting,Status,Assessment Strategy
BIOS203_INTERMEDIARY PRACTICAL SKILLS IN BIOSCIENCES,Coursework,40 %,Approved,"The module will be assessed via three assessment components. Variety of modes of assessment are employed keeping in view inclusivity and diversity. The mode of assessments include: SAQ exam – online, SAS Managed.  Computer Assessment based on Campus (40%). Resit allowed. Students will use advanced digital resources, programmes and analytical tools to assist in data analyses.  (Digital fluency and Authentic assessment- Liverpool Curriculum). Group Scientific Research output (20%) based on skills acquired in practical sessions, (Authentic assessment- Liverpool Curriculum). Potential for negotiated assessment to include: conference style poster presentation, oral presentation, written scientific report performed as a group to showcase experimental design, knowledge application, quantitative data analyses and research communications. Resit allowed. Written Individual Scientific Report: (weighting 40%) 1500 word written report detailing experimental processes, methodologies, theoretical knowledge and data analyses undertaken within practical sessions (Research connected teaching - Liverpool Curriculum). Resit allowed Formative feedback is given to students in assessment workshops. Demonstrators facilitate feedback, and peer learning. Demonstrators will provide real-time feedback in assessment workshops. Demonstrators also provide real-time feedback in laboratory practicals. Feedback will be provided to all assessments. Pass mark for all assessments is 40%. Standard UoL penalty applies for late submission of all assessments. Assessments are anonymous. Resit strategy: Resit opportunity will be given to the assessments specified where a resit is available and will have similar format and content as the original assessment, but with substantial revision required and will be submitted during the reassessment window and capped at 40% (pass mark). Learning materials will be available to students via the University Virtual Learning environment. Details on the assessments are on the table below. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE318_BACTERIAL DISEASE MECHANISMS,Coursework,60 %,Approved,"The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Specifically, these assessments enhance digital fluency in our students, a skill highly sought after by graduate employers. Additionally, we are creating confident graduates who will excel in their field. These authentic assessments are research-connected and the skills for completion are taught through active learning The assessment strategy is – Assessment 1 will follow two blocks of teaching and be a coursework task for 40% in the mid-semester assessment week. Assessment 2. will follow the final two blocks of teaching and will be a written coursework task based on a problem scenario and be worth 60% Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change.  Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE318_BACTERIAL DISEASE MECHANISMS,Coursework,40 %,Approved,"The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Specifically, these assessments enhance digital fluency in our students, a skill highly sought after by graduate employers. Additionally, we are creating confident graduates who will excel in their field. These authentic assessments are research-connected and the skills for completion are taught through active learning The assessment strategy is – Assessment 1 will follow two blocks of teaching and be a coursework task for 40% in the mid-semester assessment week. Assessment 2. will follow the final two blocks of teaching and will be a written coursework task based on a problem scenario and be worth 60% Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change.  Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
MDSC136_HEAD AND NECK ONCOLOGY,Coursework,60 %,Approved,"The Assessment Strategy for this module draws on the hallmarks of Liverpool Curriculum Framework, particularly in its focus on authentic assessment, and the use of feedback rich assessment for learning (in addition to the required summative assessment).  Authentic assessment, employing assessment for learning is supported by close alignment to the Intercollegiate FRCS in OMFS, and the highly contextual nature of the assessments, reflecting real world healthcare practice (case management) and scholarship.  The focus on evidence based medicine ensures that the assessments are research connected. The summative assessments provide opportunities for extensive engagement with relevant literature to ensure students exit the programme with a robust theoretical understanding, and opportunities to enhance employability (e.g. through presentation at relevant clinical and scientific conferences and journals) Summative Assessment 1 Oral (40%) A 20 minute oral presentation, aided by prepared slides,  during which the student will outline the clinical presentation, diagnostics and surgical management of the case, critical reflection of the case management underpinned by the relevant evidence base; after which, there will an oral defence of this management plan for  5-10 minutes. Summative Assessment 2 Course work (60%) A 2000 word written assignment, which is a critical reflection of the management strategy, professional issues and patient outcomes, based upon, and/or stimulated by learning opportunities, from a complex case into which the trainee has had significant input in oral and maxillo-facial surgery. Assessment for learning A Multi-station Structured Clinical Examination (MSCE) will be based upon actual clinical cases. This will take the form of 4 x 20 minute stations, each manned by 2 examiners. There will be a 10 minute feedback session immediately following and general discussion during the final half day session. This supports the other modules that the students might take and future professional exams. Guidance regarding the format of all assessments will be provided in the module handbook. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
MDSC136_HEAD AND NECK ONCOLOGY,Presentation,40 %,Approved,"The Assessment Strategy for this module draws on the hallmarks of Liverpool Curriculum Framework, particularly in its focus on authentic assessment, and the use of feedback rich assessment for learning (in addition to the required summative assessment).  Authentic assessment, employing assessment for learning is supported by close alignment to the Intercollegiate FRCS in OMFS, and the highly contextual nature of the assessments, reflecting real world healthcare practice (case management) and scholarship.  The focus on evidence based medicine ensures that the assessments are research connected. The summative assessments provide opportunities for extensive engagement with relevant literature to ensure students exit the programme with a robust theoretical understanding, and opportunities to enhance employability (e.g. through presentation at relevant clinical and scientific conferences and journals) Summative Assessment 1 Oral (40%) A 20 minute oral presentation, aided by prepared slides,  during which the student will outline the clinical presentation, diagnostics and surgical management of the case, critical reflection of the case management underpinned by the relevant evidence base; after which, there will an oral defence of this management plan for  5-10 minutes. Summative Assessment 2 Course work (60%) A 2000 word written assignment, which is a critical reflection of the management strategy, professional issues and patient outcomes, based upon, and/or stimulated by learning opportunities, from a complex case into which the trainee has had significant input in oral and maxillo-facial surgery. Assessment for learning A Multi-station Structured Clinical Examination (MSCE) will be based upon actual clinical cases. This will take the form of 4 x 20 minute stations, each manned by 2 examiners. There will be a 10 minute feedback session immediately following and general discussion during the final half day session. This supports the other modules that the students might take and future professional exams. Guidance regarding the format of all assessments will be provided in the module handbook. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
"LIFE332_SPECIALISED BODY SYSTEMS- DEVELOPMENT, DISEASE AND REGENERATION",Coursework,40 %,Approved,"A patchwork assignment assessment strategy will be used. In the patchwork model the assessment for each cycle will be built up in blocks so that text for each 1-2 week section can be completed ahead of assessment week. In assessment week a final piece of writing will be added to link the different parts of the assignment together, or further build upon the content. There will be an opportunity for formative feedback on one of the sections in cycle 1. As an example, in cycle 1 students would be asked to summarise a research paper relevant to the content for each week and in assessment week to add relevant figures or diagrams to the compiled text, and to reflect on a particular aspect of the material which relates to the learning outcomes for the module. In this exemplar a similar structure would be followed in cycle 2 but with longer written pieces during teaching weeks that involve topics covered over 2 weeks of module teaching. Assessment 1: Patchwork assignment with text for each section modelled on Nature ‘Research Highlights’ summarising key research findings. Assessment 2 comprises a patchwork assignment with text for each section modelled on Nature ‘News and Views’ articles related to particular scientific research papers. The patchwork approach reduces deadline bunching and enables good coverage of the syllabus. The two-cycles of assessment are designed so that students can learn from and build upon feedback from the first assignment and apply it to the second assignment. The module mark is an aggregated mark from both assessments. The assessments represent authentic assessment (Liverpool Curriculum Framework) by developing skills in assimilating and summarising complex information, often used in real world scientific and business practice. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
"LIFE332_SPECIALISED BODY SYSTEMS- DEVELOPMENT, DISEASE AND REGENERATION",Coursework,60 %,Approved,"A patchwork assignment assessment strategy will be used. In the patchwork model the assessment for each cycle will be built up in blocks so that text for each 1-2 week section can be completed ahead of assessment week. In assessment week a final piece of writing will be added to link the different parts of the assignment together, or further build upon the content. There will be an opportunity for formative feedback on one of the sections in cycle 1. As an example, in cycle 1 students would be asked to summarise a research paper relevant to the content for each week and in assessment week to add relevant figures or diagrams to the compiled text, and to reflect on a particular aspect of the material which relates to the learning outcomes for the module. In this exemplar a similar structure would be followed in cycle 2 but with longer written pieces during teaching weeks that involve topics covered over 2 weeks of module teaching. Assessment 1: Patchwork assignment with text for each section modelled on Nature ‘Research Highlights’ summarising key research findings. Assessment 2 comprises a patchwork assignment with text for each section modelled on Nature ‘News and Views’ articles related to particular scientific research papers. The patchwork approach reduces deadline bunching and enables good coverage of the syllabus. The two-cycles of assessment are designed so that students can learn from and build upon feedback from the first assignment and apply it to the second assignment. The module mark is an aggregated mark from both assessments. The assessments represent authentic assessment (Liverpool Curriculum Framework) by developing skills in assimilating and summarising complex information, often used in real world scientific and business practice. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
MDSC702_ADVANCED RESEARCH METHODS-  DESIGN AND DATA ANALYSIS,Coursework,50 %,Approved,"The Assessment Strategy has been guided by the Liverpool Curriculum Framework, Attributes, and Hallmarks. In particular, the module has been designed to include (authentic) assessment that is meaningful for the students professional/future professional role, and for further progress in Masters/Level 7 studies (preparing for Maters/Level 7 Dissertation/Research). The Assessments will provide students with the opportunity to demonstrate their research knowledge and skills to develop and defend a research protocol, such as would be required for a Masters / Level 7 dissertation / project. There is a two part single summative assessment within this module: 1. Presentation - Study Protocol Critique: Students will present their outline study protocol, providing a balanced and informed critique of the proposal, highlighting the strengths and weaknesses of a range of potential approaches to address their research question(s), and articulating clearly the supporting rationale for the approach selected. (15 Minute Presentation). 2. Study Protocol: Development of a project protocol, such as a systematic review or empirical research study, amenable for a Masters level project and of a standard suitable for publication in a peer reviewed journal within the students speciality (e.g. BMJ Open). (2,000 words). To successfully complete these assessments, students will be required to engage with the Teaching and Learning activities outlined within the module, which will prepare them for designing and defending a study protocol. For both elements of the assessment, students will need to critically review and apply the strengths and weaknesses inherent in different study designs, and understand the purpose and assumptions that can be made from the analysis of associated data: students will have opportunities to explore and examine this in the  targeted group work and subsequent discussion fora.  In  developing their study protocol, students will be familiar with and align study design within frameworks that will enable appropriate registration (if required), approval processes (R&D, Ethics, HRA) and reporting (https://www.equator-network.org/). Students who fail the review and/or report will be assessed through a repeated attempt and improving the previously submitted assignment. Developing research questions and associated study protocols are important skills for current and future practice, and are part of Authentic Assessment(Liverpool Curriculum Framework). Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
MDSC702_ADVANCED RESEARCH METHODS-  DESIGN AND DATA ANALYSIS,Presentation,50 %,Approved,"The Assessment Strategy has been guided by the Liverpool Curriculum Framework, Attributes, and Hallmarks. In particular, the module has been designed to include (authentic) assessment that is meaningful for the students professional/future professional role, and for further progress in Masters/Level 7 studies (preparing for Maters/Level 7 Dissertation/Research). The Assessments will provide students with the opportunity to demonstrate their research knowledge and skills to develop and defend a research protocol, such as would be required for a Masters / Level 7 dissertation / project. There is a two part single summative assessment within this module: 1. Presentation - Study Protocol Critique: Students will present their outline study protocol, providing a balanced and informed critique of the proposal, highlighting the strengths and weaknesses of a range of potential approaches to address their research question(s), and articulating clearly the supporting rationale for the approach selected. (15 Minute Presentation). 2. Study Protocol: Development of a project protocol, such as a systematic review or empirical research study, amenable for a Masters level project and of a standard suitable for publication in a peer reviewed journal within the students speciality (e.g. BMJ Open). (2,000 words). To successfully complete these assessments, students will be required to engage with the Teaching and Learning activities outlined within the module, which will prepare them for designing and defending a study protocol. For both elements of the assessment, students will need to critically review and apply the strengths and weaknesses inherent in different study designs, and understand the purpose and assumptions that can be made from the analysis of associated data: students will have opportunities to explore and examine this in the  targeted group work and subsequent discussion fora.  In  developing their study protocol, students will be familiar with and align study design within frameworks that will enable appropriate registration (if required), approval processes (R&D, Ethics, HRA) and reporting (https://www.equator-network.org/). Students who fail the review and/or report will be assessed through a repeated attempt and improving the previously submitted assignment. Developing research questions and associated study protocols are important skills for current and future practice, and are part of Authentic Assessment(Liverpool Curriculum Framework). Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE707_BIOLOGICAL DATA SKILLS,Coursework,40 %,Approved,"Both assessments follow the Liverpool Curriculum Framework hallmark of authentic assessment as students will analyse real datasets to answer real-world questions and will improve digital literacy. The module will follow the pattern of assessment cycles used across School of Life Sciences. The first, worth 40%, will be coursework in the form of an independent data analysis. Students will be provided with one or more data sets and asked to analyse these, test scientific hypotheses and present a coherent report using skills and techniques they have learnt in the module and in line with general standards of presentation expected within School of Life Sciences masters programmes. The second, worth 60%, will be an on-campus open-book exam carried out under exam conditions. Students will have access to materials such as code to assist during the exam. Reassessment will use the same format but the data will differ. This will take place in the normal reassessment window. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE707_BIOLOGICAL DATA SKILLS,"Written exam, open book, managed by SAS",60 %,Approved,"Both assessments follow the Liverpool Curriculum Framework hallmark of authentic assessment as students will analyse real datasets to answer real-world questions and will improve digital literacy. The module will follow the pattern of assessment cycles used across School of Life Sciences. The first, worth 40%, will be coursework in the form of an independent data analysis. Students will be provided with one or more data sets and asked to analyse these, test scientific hypotheses and present a coherent report using skills and techniques they have learnt in the module and in line with general standards of presentation expected within School of Life Sciences masters programmes. The second, worth 60%, will be an on-campus open-book exam carried out under exam conditions. Students will have access to materials such as code to assist during the exam. Reassessment will use the same format but the data will differ. This will take place in the normal reassessment window. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE349_ADVANCED HUMAN TOPOGRAPHICAL ANATOMY,Practical assessment,30 %,Approved,Assessment 1 will be dissection performance during the practical. There is no resit opportunity due to the limited availability of specimens. Assessment 2 will be a written report. Assessment 3 will be an oral presentation which cannot be marked anonymously.
LIFE349_ADVANCED HUMAN TOPOGRAPHICAL ANATOMY,Coursework,35 %,Approved,Assessment 1 will be dissection performance during the practical. There is no resit opportunity due to the limited availability of specimens. Assessment 2 will be a written report. Assessment 3 will be an oral presentation which cannot be marked anonymously.
LIFE349_ADVANCED HUMAN TOPOGRAPHICAL ANATOMY,Coursework,35 %,Approved,Assessment 1 will be dissection performance during the practical. There is no resit opportunity due to the limited availability of specimens. Assessment 2 will be a written report. Assessment 3 will be an oral presentation which cannot be marked anonymously.
LIFE206_DRUG ACTION,"Written exam, open book, not managed by SAS",40 %,Approved,"Assessment 1: online test. Weighting 40% of module. Mid semester. Assessment 2: examination. Weighting 60% of module. End of semester. The online test uses interpretation-type MCQs which place emphasis on application and interpretation. These are higher order skills and more beneficial to students in terms of employability making these assessment more authentic (Liverpool Curriculum Framework - authentic assessment). There is a reassessment opportunity. Assessments will be a similar format to the original but based upon different titles. They will take place in the normal reassessment window and be capped at 40% Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE206_DRUG ACTION,"Written exam, unseen, managed by SAS",60 %,Approved,"Assessment 1: online test. Weighting 40% of module. Mid semester. Assessment 2: examination. Weighting 60% of module. End of semester. The online test uses interpretation-type MCQs which place emphasis on application and interpretation. These are higher order skills and more beneficial to students in terms of employability making these assessment more authentic (Liverpool Curriculum Framework - authentic assessment). There is a reassessment opportunity. Assessments will be a similar format to the original but based upon different titles. They will take place in the normal reassessment window and be capped at 40% Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE343_MICROBIOMES - MICROBIAL DIVERSITY AND HOST INTERACTIONS,Coursework,60 %,Approved,"Coursework: Individual report on the taxa presented by the group - worth 40% Final assignment 60%: Two-parts Section 1 interpretation of microbial data from a publication. (40% of assignment) Section 2 assignment- choice of 1 from 2 essays on microbiomes (60% of assignment) The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Specifically, these assessments enhance digital fluency and data handling and interpretation in our students. Skills highly sought after by graduate employers. Additionally, we are creating confident graduates who will excel in their field. These authentic assessments are research-connected and the skills for completion are taught through active learning Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE343_MICROBIOMES - MICROBIAL DIVERSITY AND HOST INTERACTIONS,Coursework,40 %,Approved,"Coursework: Individual report on the taxa presented by the group - worth 40% Final assignment 60%: Two-parts Section 1 interpretation of microbial data from a publication. (40% of assignment) Section 2 assignment- choice of 1 from 2 essays on microbiomes (60% of assignment) The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Specifically, these assessments enhance digital fluency and data handling and interpretation in our students. Skills highly sought after by graduate employers. Additionally, we are creating confident graduates who will excel in their field. These authentic assessments are research-connected and the skills for completion are taught through active learning Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE124_BIOLOGY & ECOLOGY FIELD SKILLS,Practical assessment,10 %,Approved,"Assessment 1: Spotter Test conducted at the end of the field course. This will comprise about twenty specimens to comment on or name, or some simple calculations based on work done during the course. Questions will be “multiple-choice”, plus one question answered orally about animal specimens that were curated (identified, labelled and preserved) by each student during the course. The resit will be a written exam. Assessment 2: Field Notebook to be completed during field course. This is a record of the student's field work, and is expected to allow a reader to understand what was done, why it was done, what the results were, and what they mean. Ideally a reader would be able to replicate the experiments based on the notebook. Length cannot be specified, as it depends on field results, but it is expected to require ~2 hours work each day beyond the work carried out writing it in the field. The resit will consist of a written piece of coursework. Assessment 3: Participation in field activities. Each student is given a mark from 1-5 (poor to excellent) by the team teaching them each day, based on the extent to which they got involved in practical field and laboratory work, and the intelligence and effort they put in to solving the problems they encounter in the field. This includes asking and answering questions, participation in class discussions, and demonstrating a professional attitude to fieldwork. They are assessed at all times when in the field, carrying out laboratory work, and during discussions of the work. Teaching teams evaluate students independently, but we find that there is a high degree of correlation in marks students are awarded across the four days. None of the Assessments can be anonymous as they require face to face interaction. Note that students cannot pass the module without attending the field course. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE124_BIOLOGY & ECOLOGY FIELD SKILLS,Coursework,50 %,Approved,"Assessment 1: Spotter Test conducted at the end of the field course. This will comprise about twenty specimens to comment on or name, or some simple calculations based on work done during the course. Questions will be “multiple-choice”, plus one question answered orally about animal specimens that were curated (identified, labelled and preserved) by each student during the course. The resit will be a written exam. Assessment 2: Field Notebook to be completed during field course. This is a record of the student's field work, and is expected to allow a reader to understand what was done, why it was done, what the results were, and what they mean. Ideally a reader would be able to replicate the experiments based on the notebook. Length cannot be specified, as it depends on field results, but it is expected to require ~2 hours work each day beyond the work carried out writing it in the field. The resit will consist of a written piece of coursework. Assessment 3: Participation in field activities. Each student is given a mark from 1-5 (poor to excellent) by the team teaching them each day, based on the extent to which they got involved in practical field and laboratory work, and the intelligence and effort they put in to solving the problems they encounter in the field. This includes asking and answering questions, participation in class discussions, and demonstrating a professional attitude to fieldwork. They are assessed at all times when in the field, carrying out laboratory work, and during discussions of the work. Teaching teams evaluate students independently, but we find that there is a high degree of correlation in marks students are awarded across the four days. None of the Assessments can be anonymous as they require face to face interaction. Note that students cannot pass the module without attending the field course. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE124_BIOLOGY & ECOLOGY FIELD SKILLS,"Written exam, unseen, not managed by SAS",40 %,Approved,"Assessment 1: Spotter Test conducted at the end of the field course. This will comprise about twenty specimens to comment on or name, or some simple calculations based on work done during the course. Questions will be “multiple-choice”, plus one question answered orally about animal specimens that were curated (identified, labelled and preserved) by each student during the course. The resit will be a written exam. Assessment 2: Field Notebook to be completed during field course. This is a record of the student's field work, and is expected to allow a reader to understand what was done, why it was done, what the results were, and what they mean. Ideally a reader would be able to replicate the experiments based on the notebook. Length cannot be specified, as it depends on field results, but it is expected to require ~2 hours work each day beyond the work carried out writing it in the field. The resit will consist of a written piece of coursework. Assessment 3: Participation in field activities. Each student is given a mark from 1-5 (poor to excellent) by the team teaching them each day, based on the extent to which they got involved in practical field and laboratory work, and the intelligence and effort they put in to solving the problems they encounter in the field. This includes asking and answering questions, participation in class discussions, and demonstrating a professional attitude to fieldwork. They are assessed at all times when in the field, carrying out laboratory work, and during discussions of the work. Teaching teams evaluate students independently, but we find that there is a high degree of correlation in marks students are awarded across the four days. None of the Assessments can be anonymous as they require face to face interaction. Note that students cannot pass the module without attending the field course. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE238_ADVANCED EXPERIMENTAL DESIGN AND ANALYSIS,Coursework,50 %,Approved,"Assessment 1: : Computer Assignment, applying and interpreting the statistical methods taught in the module. This is an Authentic Assessment (Liverpool Curriculum Framework), as students will be analysing personal data sets and reporting in the format required for a scientific report. Assessment 2: : Report on an experiment proposed, designed, and performed by the students, as a field observation on campus.  This is an Authentic Assessment  (Liverpool Curriculum Framework), as students have an end-to-end experience of formulating and addressing their own scientific questions. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given"
LIFE238_ADVANCED EXPERIMENTAL DESIGN AND ANALYSIS,Coursework,50 %,Approved,"Assessment 1: : Computer Assignment, applying and interpreting the statistical methods taught in the module. This is an Authentic Assessment (Liverpool Curriculum Framework), as students will be analysing personal data sets and reporting in the format required for a scientific report. Assessment 2: : Report on an experiment proposed, designed, and performed by the students, as a field observation on campus.  This is an Authentic Assessment  (Liverpool Curriculum Framework), as students have an end-to-end experience of formulating and addressing their own scientific questions. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given"
MDSC400_APPLIED ETHICS FOR CLINICAL PRACTICE I,Presentation,30 %,Approved,"A.Weekly  formative assessments will be developed especially online to allow students to measure their progress and to respond to feedback. - Online Quiz: This will present online question types in order to help students consolidate their knowledge.  Topics for this module would include: ethical theories, concepts and principles. - E-portfolio (Case notes, podcast, blog: Students will create brief case notes/podcast/blogs around an ethical issue encountered in their practice which will inform their summative assessment. - Workshops: The workshops during the face-to-face component include exercises to review and practice ethical approaches to clinical practice. - A written formative assessment will encourage students to critically review a minimum of 2 ethical theories and discuss the implications for practice within their area of activity (about 1500 words). This will be a structured approach to finding and reviewing the literature to answer very specific ethical problems, using the best available evidence. The students are expected to have delivered a comprehensive summary of the 2 theories (at their choice), appraised systematically and expertly. B. The summative assessments for this module consist of the following components that combine critical appraisal (of ethical considerations, communication issues, evaluation of care needs) and critical reflection (on clinical examples): 1.Presentation 30%, (15 min.). The students will have to choose a relevant regulation/policy/law and analyse the underpinning ethical principles and how this impacts on ethically sound practice (e.g. mental capacity act, consent). They can reflect on their own professional experiences. The canvas online platform gives them an opportunity to create an e-portfolio of cases and skills observed, as part of authentic assessment. 2.Coursework 70%. Case study report. This is part of ‘authentic assessment’, mirroring a real-life report exercise. The students will select a case example from current practice and using moral theory, they have to critically review the decisions made with respect to the management of a particular case (3000 words). This will be a reflection on the role of ethical theories and principles that govern clinical interactions within the NHS (or other healthcare systems), or in the management of patients in clinical environments. This will focus not just on patient centred specific care, but the design and delivery of care pathways, governance and professional behaviours within multi-disciplinary interactions. These 2 linked assessments build on the previous experience providing an understanding of the complex nature of ethical decision-making. Re-assessment: Re-assessment will normally take place at the next re-assessment opportunity and within 12 months of the failed assessment where possible. Students will be offered a re-assessment opportunity in failed assessments in accordance with the University’s Code of Practice on Assessment, Appendix C. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
MDSC400_APPLIED ETHICS FOR CLINICAL PRACTICE I,Coursework,70 %,Approved,"A.Weekly  formative assessments will be developed especially online to allow students to measure their progress and to respond to feedback. - Online Quiz: This will present online question types in order to help students consolidate their knowledge.  Topics for this module would include: ethical theories, concepts and principles. - E-portfolio (Case notes, podcast, blog: Students will create brief case notes/podcast/blogs around an ethical issue encountered in their practice which will inform their summative assessment. - Workshops: The workshops during the face-to-face component include exercises to review and practice ethical approaches to clinical practice. - A written formative assessment will encourage students to critically review a minimum of 2 ethical theories and discuss the implications for practice within their area of activity (about 1500 words). This will be a structured approach to finding and reviewing the literature to answer very specific ethical problems, using the best available evidence. The students are expected to have delivered a comprehensive summary of the 2 theories (at their choice), appraised systematically and expertly. B. The summative assessments for this module consist of the following components that combine critical appraisal (of ethical considerations, communication issues, evaluation of care needs) and critical reflection (on clinical examples): 1.Presentation 30%, (15 min.). The students will have to choose a relevant regulation/policy/law and analyse the underpinning ethical principles and how this impacts on ethically sound practice (e.g. mental capacity act, consent). They can reflect on their own professional experiences. The canvas online platform gives them an opportunity to create an e-portfolio of cases and skills observed, as part of authentic assessment. 2.Coursework 70%. Case study report. This is part of ‘authentic assessment’, mirroring a real-life report exercise. The students will select a case example from current practice and using moral theory, they have to critically review the decisions made with respect to the management of a particular case (3000 words). This will be a reflection on the role of ethical theories and principles that govern clinical interactions within the NHS (or other healthcare systems), or in the management of patients in clinical environments. This will focus not just on patient centred specific care, but the design and delivery of care pathways, governance and professional behaviours within multi-disciplinary interactions. These 2 linked assessments build on the previous experience providing an understanding of the complex nature of ethical decision-making. Re-assessment: Re-assessment will normally take place at the next re-assessment opportunity and within 12 months of the failed assessment where possible. Students will be offered a re-assessment opportunity in failed assessments in accordance with the University’s Code of Practice on Assessment, Appendix C. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
